AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
              393216             1048576               42.92               42.92                9.16                9.16
              393216             2097152               42.62               42.62                9.23                9.23
              393216             4194304               42.78               42.78                9.19                9.19
              393216             8388608               42.49               42.49                9.26                9.26
              393216            16777216               42.41               42.41                9.27                9.27
              393216            33554432               42.61               42.61                9.23                9.23
              393216            67108864               42.36               42.36                9.28                9.28
              786432               65536               45.54               45.54               17.27               17.27
              786432              131072               45.88               45.88               17.14               17.14
              786432              262144               45.52               45.52               17.28               17.28
              786432              524288               45.52               45.52               17.28               17.28
              786432             1048576               45.59               45.59               17.25               17.25
              786432             2097152               45.93               45.93               17.12               17.12
              786432             4194304               45.96               45.96               17.11               17.11
              786432             8388608               45.45               45.45               17.31               17.31
              786432            16777216               46.28               46.28               16.99               16.99
              786432            33554432               45.95               45.95               17.12               17.12
              786432            67108864               45.89               45.89               17.14               17.14
             1572864               65536               59.58               59.58               26.40               26.40
             1572864              131072               52.31               52.31               30.07               30.07
             1572864              262144               52.76               52.76               29.81               29.81
             1572864              524288               53.18               53.18               29.58               29.58
             1572864             1048576               52.85               52.85               29.76               29.76
             1572864             2097152               51.99               51.99               30.25               30.25
             1572864             4194304               52.32               52.32               30.06               30.06
             1572864             8388608               52.62               52.62               29.89               29.89
             1572864            16777216               52.04               52.04               30.22               30.22
             1572864            33554432               52.19               52.19               30.14               30.14
             1572864            67108864               52.13               52.13               30.17               30.17
             3145728               65536               78.57               78.57               40.04               40.04
             3145728              131072               71.82               71.82               43.80               43.80
             3145728              262144               70.31               70.31               44.74               44.74
             3145728              524288               69.80               69.80               45.07               45.07
             3145728             1048576               69.56               69.56               45.22               45.22
             3145728             2097152               68.93               68.93               45.64               45.64
             3145728             4194304               69.03               69.03               45.57               45.57
             3145728             8388608               68.70               68.70               45.79               45.79
             3145728            16777216               67.94               67.94               46.30               46.30
             3145728            33554432               68.75               68.75               45.76               45.76
             3145728            67108864               70.31               70.31               44.74               44.74
