AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=1
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
               24576              262144               77.66               77.66                0.32                0.32
               24576              524288               77.67               77.67                0.32                0.32
               24576             1048576               77.69               77.69                0.32                0.32
               24576             2097152               78.07               78.07                0.31                0.31
               24576             4194304               78.04               78.04                0.31                0.31
               49152               65536               78.07               78.07                0.63                0.63
               49152              131072               77.86               77.86                0.63                0.63
               49152              262144               78.44               78.44                0.63                0.63
               49152              524288               78.28               78.28                0.63                0.63
               49152             1048576               78.40               78.40                0.63                0.63
               49152             2097152               77.94               77.94                0.63                0.63
               49152             4194304               78.19               78.19                0.63                0.63
               98304               65536               78.71               78.71                1.25                1.25
               98304              131072               78.81               78.81                1.25                1.25
               98304              262144               78.74               78.74                1.25                1.25
               98304              524288               78.68               78.68                1.25                1.25
               98304             1048576               78.40               78.40                1.25                1.25
               98304             2097152               78.42               78.42                1.25                1.25
               98304             4194304               78.61               78.61                1.25                1.25
              196608               65536               81.92               81.92                2.40                2.40
              196608              131072               81.62               81.62                2.41                2.41
              196608              262144               81.95               81.95                2.40                2.40
              196608              524288               81.82               81.82                2.40                2.40
              196608             1048576               83.26               83.26                2.36                2.36
              196608             2097152               81.66               81.66                2.41                2.41
              196608             4194304               81.59               81.59                2.41                2.41
              393216               65536               83.21               83.21                4.73                4.73
              393216              131072               83.31               83.31                4.72                4.72
              393216              262144               83.16               83.16                4.73                4.73
              393216              524288               83.49               83.49                4.71                4.71
              393216             1048576               83.27               83.27                4.72                4.72
